id;uo;programa;acao;subacao;descricao_medida;descricao_produto;qtde_prevista orig;qtde_concedida;ind_meta_cumulativa;qtde_executada_até per;qtde exec orig;qtde exec red;qtde exec total (orig+red);eficácia final;valor_orcado;valor_emp orig;valor_liquid ;eficiência liq final;sequencia_sub_acao;Reforma
1;201;7;2900;8;Unidade;Feira realizada;207;104;S;54;103;54;157;0,758;949500;312438,44;515443,32;1,397;2836;Nova
2;201;7;2321;1;Pessoa;Frequentadores;200000;66450;S;66000;133550;66000;199550;0,998;725200;515443,32;312438,44;2,316;2835;Nova
3;207;146;2334;3;Unidade;Evento realizado;1;0;S;0;0;0;0;0;33000;0;0;0;2463;Antiga/Extinta
4;207;146;2338;2;Unidade;Participação em evento efetivada;70;0;S;8;0;0;0;0;470000;11353,13;11353,13;0;1423;Antiga/Extinta
5;207;146;2338;4;Unidade;Ação realizada;1;0;S;0;0;0;0;0;5000;0;0;0;1325;Antiga/Extinta
6;207;146;2338;5;Unidade;Ação realizada;45;0;S;12;0;0;0;0;5316464;2866783,68;2866783,68;0;1326;Antiga/Extinta
7;207;154;2371;1;Unidade;Ação realizada;720;0;S;1880;0;0;0;0;54000;0;0;0;1380;Antiga/Extinta
8;207;154;2371;1;Unidade;Ação realizada;1210;0;S;1716;0;0;0;0;72026;0;0;0;1381;Antiga/Extinta
9;207;154;2371;1;Unidade;Ação realizada;548;0;S;1591;0;0;0;0;54000;0;0;0;1382;Antiga/Extinta
10;207;154;2371;1;Unidade;Ação realizada;5;0;S;182;0;0;0;0;54000;0;0;0;1383;Antiga/Extinta
11;207;154;2371;1;Unidade;Ação realizada;425;0;S;789;0;0;0;0;54000;0;0;0;1384;Antiga/Extinta
12;207;154;2371;1;Unidade;Ação realizada;470;0;S;798;0;0;0;0;54000;0;0;0;1385;Antiga/Extinta
13;207;154;2371;1;Unidade;Ação realizada;220;0;S;311;0;0;0;0;54000;0;0;0;1386;Antiga/Extinta
14;207;154;2371;1;Unidade;Ação realizada;646;0;S;961;0;0;0;0;282000;0;0;0;1387;Antiga/Extinta
15;207;154;2371;1;Unidade;Ação realizada;320;0;S;477;0;0;0;0;54000;0;0;0;1388;Antiga/Extinta
16;207;154;2371;2;Unidade;Ação realizada;150;0;S;212;0;0;0;0;0;0;0;0;1391;Antiga/Extinta
17;207;154;2371;2;Unidade;Ação realizada;48;0;S;61;0;0;0;0;320000;0;0;0;1392;Antiga/Extinta
18;207;154;2371;2;Unidade;Ação realizada;265;0;S;196;0;0;0;0;7200;0;0;0;1393;Antiga/Extinta
19;207;154;2371;2;Unidade;Ação realizada;150;0;S;347;0;0;0;0;0;0;0;0;1395;Antiga/Extinta
20;207;154;2371;2;Unidade;Ação realizada;117;0;S;168;0;0;0;0;0;0;0;0;1396;Antiga/Extinta
21;207;154;2371;2;Unidade;Ação realizada;78;0;S;42;0;0;0;0;0;0;0;0;1397;Antiga/Extinta
22;207;154;2371;2;Unidade;Ação realizada;34;0;S;524;0;0;0;0;0;0;0;0;1398;Antiga/Extinta
23;207;154;2371;2;Unidade;Ação realizada;35;0;S;76;0;0;0;0;0;0;0;0;1399;Antiga/Extinta
24;207;154;2371;3;Unidade;Ação realizada;10;0;S;0;0;0;0;0;2800000;0;0;0;1379;Antiga/Extinta
25;207;154;2371;3;Unidade;Ação realizada;196;0;S;39;0;0;0;0;0;350312,14;350312,14;0;1390;Antiga/Extinta
26;207;154;2371;4;Pessoa;Usuário atendido;30740;0;S;23252;0;0;0;0;0;0;0;0;1401;Antiga/Extinta
27;207;154;2371;4;Pessoa;Usuário atendido;68000;0;S;46612;0;0;0;0;0;0;0;0;1402;Antiga/Extinta
28;207;154;2371;4;Pessoa;Usuário atendido;25530;0;S;11230;0;0;0;0;0;0;0;0;1403;Antiga/Extinta
29;207;154;2371;4;Pessoa;Usuário atendido;3574;0;S;7474;0;0;0;0;0;0;0;0;1404;Antiga/Extinta
30;207;154;2371;4;Pessoa;Usuário atendido;20120;0;S;12997;0;0;0;0;0;0;0;0;1405;Antiga/Extinta
31;207;154;2371;4;Pessoa;Usuário atendido;26902;0;S;34787;0;0;0;0;0;0;0;0;1406;Antiga/Extinta
32;207;154;2371;4;Pessoa;Usuário atendido;10500;0;S;6643;0;0;0;0;0;0;0;0;1407;Antiga/Extinta
33;207;154;2371;4;Pessoa;Usuário atendido;34350;0;S;13954;0;0;0;0;0;0;0;0;1408;Antiga/Extinta
34;207;154;2371;4;Pessoa;Usuário atendido;9100;0;S;3922;0;0;0;0;0;0;0;0;1409;Antiga/Extinta
35;207;154;2371;5;Unidade;Evento realizado;1;0;S;0;0;0;0;0;180000;0;0;0;1411;Antiga/Extinta
36;207;155;2375;1;Unidade;Bem preservado;20;0;S;2;0;0;0;0;6849657;3716792,61;3716792,61;0;1337;Antiga/Extinta
37;207;155;2375;2;Unidade;Ação realizada;77;0;S;56;0;0;0;0;0;0;0;0;1338;Antiga/Extinta
38;207;155;2375;2;Unidade;Ação realizada;650;0;S;875;0;0;0;0;560000;16000;16000;0;1339;Antiga/Extinta
39;207;155;2375;2;Unidade;Ação realizada;62;0;S;22;0;0;0;0;0;0;0;0;1340;Antiga/Extinta
40;207;155;2375;2;Unidade;Ação realizada;2;0;S;89;0;0;0;0;0;0;0;0;1341;Antiga/Extinta
41;207;155;2375;2;Unidade;Ação realizada;98;0;S;82;0;0;0;0;0;0;0;0;1342;Antiga/Extinta
42;207;155;2375;2;Unidade;Ação realizada;175;0;S;196;0;0;0;0;0;0;0;0;1343;Antiga/Extinta
43;207;155;2375;2;Unidade;Ação realizada;41;0;S;28;0;0;0;0;0;0;0;0;1344;Antiga/Extinta
44;207;155;2375;2;Unidade;Ação realizada;580;0;S;1061;0;0;0;0;77400;2930;2930;0;1345;Antiga/Extinta
45;207;155;2375;2;Unidade;Ação realizada;140;0;S;104;0;0;0;0;0;0;0;0;1346;Antiga/Extinta
46;207;155;2375;3;Pessoa;Usuário atendido;6000;0;S;3417;0;0;0;0;3000;0;0;0;1349;Antiga/Extinta
47;207;155;2375;3;Pessoa;Usuário atendido;190;0;S;211;0;0;0;0;0;0;0;0;1355;Antiga/Extinta
48;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1358;Antiga/Extinta
49;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1359;Antiga/Extinta
50;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1360;Antiga/Extinta
51;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1361;Antiga/Extinta
52;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1362;Antiga/Extinta
53;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1363;Antiga/Extinta
54;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1364;Antiga/Extinta
55;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1365;Antiga/Extinta
56;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;0;0;0;0;1366;Antiga/Extinta
57;207;155;2375;4;Unidade;Acervo adquirido;310;0;S;0;0;0;0;0;60000;0;0;0;1367;Antiga/Extinta
58;207;239;1339;6;Percentual de execução;Equipamento público implantado;40;0;S;0;0;0;0;0;105000;0;0;0;2087;Antiga/Extinta
59;207;239;1339;11;Percentual de execução;Equipamento público implantado;100;0;S;0;0;0;0;0;500000;0;0;0;2495;Antiga/Extinta
60;207;239;1339;12;Unidade;Centro Cultural Requalificado;1;0;S;0;0;0;0;0;0;0;0;0;2498;Antiga/Extinta
61;207;239;1339;12;Unidade;Centro Cultural Requalificado;1;0;S;0;0;0;0;0;0;0;0;0;2499;Antiga/Extinta
62;207;239;1339;12;Unidade;Centro Cultural Requalificado;1;0;S;0;0;0;0;0;0;0;0;0;2500;Antiga/Extinta
63;207;239;2371;1;Unidade;Ação realizada;1;0;S;0;0;0;0;0;0;0;0;0;2464;Antiga/Extinta
64;207;239;2371;2;Unidade;Ação realizada;1;0;S;0;0;0;0;0;0;0;0;0;2305;Antiga/Extinta
65;207;239;2371;5;Unidade;Evento realizado;1;0;S;0;0;0;0;0;200000;4200;4200;0;1419;Antiga/Extinta
66;207;239;2371;7;Unidade;Ação realizada;1;0;S;0;0;0;0;0;136000;200000;200000;0;1664;Antiga/Extinta
67;207;239;2371;16;Unidade;Evento realizado;1;0;S;0;0;0;0;0;905000;0;0;0;1673;Antiga/Extinta
68;207;239;2371;18;Unidade;Evento realizado;1;0;S;0;0;0;0;0;1600000;0;0;0;1675;Antiga/Extinta
69;207;239;2371;19;Unidade;Evento realizado;1;0;S;0;0;0;0;0;1500000;0;0;0;1676;Antiga/Extinta
